id,branch_name,branch_slug,branch_category
1,Computer Engineering,computer-engineering,Computer Science & IT
2,Information Technology,information-technology,Computer Science & IT
3,Electronics and Telecommunication Engg,electronics-and-telecommunication-engg,Electronics & Electrical
4,Computer Science and Engineering (Artificial Intelligence and Machine Learning),computer-science-and-engineering-artificial-intelligence-and-machine-learning,Artificial Intelligence & Data
5,Computer Science and Engineering (Data Science),computer-science-and-engineering-data-science,Artificial Intelligence & Data
6,Computer Science and Engineering,computer-science-and-engineering,Computer Science & IT
7,Electrical Engineering,electrical-engineering,Electronics & Electrical
8,Chemical Engineering,chemical-engineering,Chemical & Biotech
9,Electronics Engineering,electronics-engineering,Electronics & Electrical
10,Instrumentation and Control Engineering,instrumentation-and-control-engineering,Electronics & Electrical
11,Mechanical Engineering,mechanical-engineering,Mechanical & Automation
12,Artificial Intelligence (AI) and Data Science,artificial-intelligence-ai-and-data-science,Artificial Intelligence & Data
13,Computer Science and Engineering (Artificial Intelligence),computer-science-and-engineering-artificial-intelligence,Artificial Intelligence & Data
14,Polymer Engineering and Technology,polymer-engineering-and-technology,Other Engineering Disciplines
15,Pharmaceuticals Chemistry and Technology,pharmaceuticals-chemistry-and-technology,Other Engineering Disciplines
16,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology),computer-science-and-engineering-internet-of-things-and-cyber-security-including-block-chain-technology,Artificial Intelligence & Data
17,Civil Engineering,civil-engineering,Civil & Environmental
18,Food Engineering and Technology,food-engineering-and-technology,Chemical & Biotech
19,Artificial Intelligence and Data Science,artificial-intelligence-and-data-science,Artificial Intelligence & Data
20,Artificial Intelligence and Machine Learning,artificial-intelligence-and-machine-learning,Artificial Intelligence & Data
21,Computer Engineering (Regional Language),computer-engineering-regional-language,Computer Science & IT
22,Manufacturing Science and Engineering,manufacturing-science-and-engineering,Other Engineering Disciplines
23,"Oil, Oleochemicals and Surfactants Technology",oil-oleochemicals-and-surfactants-technology,Chemical & Biotech
24,Surface Coating Technology,surface-coating-technology,Other Engineering Disciplines
