id,college_name,college_slug,district,city,region
1,"Veermata Jijabai Technological Institute (VJTI), Matunga, Mumbai",veermata-jijabai-technological-institute-vjti-matunga-mumbai,Mumbai,VJTI,Mumbai Region
2,COEP Technological University,coep-technological-university,Pune,COEP,Pune Region
3,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology, Andheri, Mumbai",bhartiya-vidya-bhavans-sardar-patel-institute-of-technology-andheri-mumbai,Mumbai,Andheri,Mumbai Region
4,"Pune Institute of Computer Technology, Dhankavdi, Pune",pune-institute-of-computer-technology-dhankavdi-pune,Pune,Pune,Pune Region
5,"Walchand College of Engineering, Sangli",walchand-college-of-engineering-sangli,Sangli,Walchand,Pune Region
6,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle, Mumbai",shri-vile-parle-kelvani-mandals-dwarkadas-j-sanghvi-college-of-engineering-vile-parle-mumbai,Mumbai,Vile Parle,Mumbai Region
7,"Institute of Chemical Technology, Matunga, Mumbai",institute-of-chemical-technology-matunga-mumbai,Mumbai,Matunga,Mumbai Region
8,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune",bansilal-ramnath-agarawal-charitable-trusts-vishwakarma-institute-of-technology-bibwewadi-pune,Pune,Bibwewadi,Pune Region
9,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",pimpri-chinchwad-education-trust-pimpri-chinchwad-college-of-engineering-pune,Pune,Pimpri,Pune Region
10,"MKSSS's Cummins College of Engineering for Women, Karvenagar, Pune",mkssss-cummins-college-of-engineering-for-women-karvenagar-pune,Pune,Karvenagar,Pune Region
11,"Xavier Institute Of Engineering C/O Xavier Technical Institute, Mahim, Mumbai",xavier-institute-of-engineering-c-o-xavier-technical-institute-mahim-mumbai,Mumbai,Mahim,Mumbai Region
12,"Shri Ramdeobaba College of Engineering and Management, Nagpur",shri-ramdeobaba-college-of-engineering-and-management-nagpur,Nagpur,Ramdeobaba,Vidarbha
13,"Thadomal Shahani Engineering College, Bandra, Mumbai",thadomal-shahani-engineering-college-bandra-mumbai,Mumbai,Thadomal,Mumbai Region
